PostId,time,timestamp,comments,likes,shares,ranking
1,2023-05-15T07:00:00.000Z,1684134000,2,11,0,1
2,2023-05-15T06:04:46.000Z,1684130686,1,17,0,1
3,2023-05-14T17:00:01.000Z,1684083601,10,41,0,1
4,2023-05-14T16:00:03.000Z,1684080003,7,46,0,1
5,2023-05-14T15:00:03.000Z,1684076403,4,41,0,1
6,2023-05-14T13:00:00.000Z,1684069200,6,92,1,1
7,2023-05-14T12:00:01.000Z,1684065601,2,41,0,1
8,2023-05-14T11:00:02.000Z,1684062002,1,30,0,1
9,2023-05-14T10:00:02.000Z,1684058402,3,39,0,0
10,2023-05-14T09:05:00.000Z,1684055100,8,90,0,1
11,2023-05-14T08:14:19.000Z,1684052059,1,20,0,0
12,2023-05-14T08:14:02.000Z,1684052042,7,40,0,0
13,2023-05-14T08:11:13.000Z,1684051873,3,47,0,1
14,2023-05-12T20:55:00.000Z,1683924900,2,49,0,1
15,2023-05-12T20:05:01.000Z,1683921901,34,118,0,0
16,2023-05-12T19:31:45.000Z,1683919905,14,68,0,1
17,2023-05-12T19:00:01.000Z,1683918001,2,56,0,1
18,2023-05-12T17:00:01.000Z,1683910801,18,89,0,1
19,2023-05-12T15:26:17.000Z,1683905177,14,96,0,1
20,2023-05-12T13:00:03.000Z,1683896403,0,20,0,0
21,2023-05-12T12:00:01.000Z,1683892801,0,15,0,0
22,2023-05-12T11:00:01.000Z,1683889201,6,48,1,1
23,2023-05-12T10:00:00.000Z,1683885600,2,60,0,1
24,2023-05-12T08:42:42.000Z,1683880962,3,42,0,0
25,2023-05-11T20:00:01.000Z,1683835201,0,30,0,1
26,2023-05-11T19:15:02.000Z,1683832502,3,55,0,1
27,2023-05-11T19:00:03.000Z,1683831603,5,69,0,1
28,2023-05-11T18:11:00.000Z,1683828660,12,88,0,0
29,2023-05-11T18:00:02.000Z,1683828002,1,38,0,0
30,2023-05-11T17:00:01.000Z,1683824401,0,26,0,0
