PostId,time,timestamp,comments,likes,shares,ranking
1.00E+00,2023-05-14T13:18:49.000Z,1684070329,20,515,76,1
2.00E+00,2023-05-13T15:59:15.000Z,1683993555,28,593,98,1
3.00E+00,2023-05-12T14:32:21.000Z,1683901941,41,600,66,0
4.00E+00,2023-05-11T13:44:09.000Z,1683812649,14,581,90,0
5.00E+00,2023-05-10T16:15:44.000Z,1683735344,246,2817,238,0
6.00E+00,2023-05-09T13:10:02.000Z,1683637802,27,725,98,1
7.00E+00,2023-05-08T15:50:53.000Z,1683561053,21,639,53,1
8.00E+00,2023-05-07T13:42:49.000Z,1683466969,75,1419,128,1
9.00E+00,2023-05-06T16:22:08.000Z,1683390128,198,2203,174,1
1.00E+01,2023-05-05T16:07:19.000Z,1683302839,96,377,5,1
1.10E+01,2023-05-05T14:27:15.000Z,1683296835,56,1531,264,1
1.20E+01,2023-05-04T15:21:51.000Z,1683213711,18,744,82,1
1.30E+01,2023-05-03T12:55:04.000Z,1683118504,66,1376,98,1
1.40E+01,2023-05-01T13:58:32.000Z,1682949512,29,1044,104,1
1.50E+01,2023-04-30T16:16:43.000Z,1682871403,105,1690,113,0
1.60E+01,2023-04-29T22:50:02.000Z,1682808602,1,34,0,0
1.70E+01,2023-04-29T13:25:53.000Z,1682774753,15,381,48,1
1.80E+01,2023-04-26T17:10:32.000Z,1682529032,30,1557,149,1
1.90E+01,2023-04-25T17:21:41.000Z,1682443301,29,458,44,0
2.00E+01,2023-04-24T14:44:06.000Z,1682347446,132,2337,200,1
