PostId,time,timestamp,comments,likes,shares,ranking
1,2023-05-14T18:00:05.000Z,1684087205,0,38,0,1
2,2023-05-14T14:00:03.000Z,1684072803,38,212,21,1
3,2023-05-14T11:55:14.000Z,1684065314,58,457,1,0
4,2023-05-13T20:00:03.000Z,1684008003,1,60,1,0
5,2023-05-13T18:00:03.000Z,1684000803,1,63,1,0
6,2023-05-13T16:00:02.000Z,1683993602,3,124,1,1
7,2023-05-13T12:00:04.000Z,1683979204,5,112,0,0
8,2023-05-13T10:00:00.000Z,1683972000,3,70,1,1
9,2023-05-12T18:00:03.000Z,1683914403,2,85,2,1
10,2023-05-12T14:00:04.000Z,1683900004,3,103,5,1
11,2023-05-12T10:00:01.000Z,1683885601,36,334,11,0
12,2023-05-11T21:00:04.000Z,1683838804,3,128,1,0
13,2023-05-10T16:00:03.000Z,1683734403,20,141,8,1
14,2023-05-09T20:00:03.000Z,1683662403,13,135,5,0
15,2023-05-09T07:54:13.000Z,1683618853,9,170,4,1
16,2023-05-08T17:00:02.000Z,1683565202,3,113,3,0
17,2023-05-06T20:00:03.000Z,1683403203,4,97,8,1
18,2023-05-06T18:00:05.000Z,1683396005,1,47,2,0
19,2023-05-06T15:59:35.000Z,1683388775,49,97,2,1
20,2023-05-06T12:00:04.000Z,1683374404,216,1812,62,1
