PostId,time,timestamp,comments,likes,shares,ranking
1,2023-05-14T14:06:27.000Z,1684073187,1,19,6,1
2,2023-05-13T12:28:02.000Z,1683980882,19,150,10,1
3,2023-05-12T10:25:11.000Z,1683887111,6,178,4,0
4,2023-05-11T17:50:50.000Z,1683827450,21,139,7,0
5,2023-05-11T08:48:07.000Z,1683794887,36,506,4,0
6,2023-05-10T16:49:44.000Z,1683737384,57,2642,55,1
7,2023-05-08T19:34:03.000Z,1683574443,44,355,5,1
8,2023-05-06T10:33:44.000Z,1683369224,20,104,4,1
9,2023-05-05T12:47:01.000Z,1683290821,25,348,19,1
10,2023-05-04T11:00:01.000Z,1683198001,36,299,2,0
11,2023-05-04T07:58:14.000Z,1683187094,13,156,7,1
12,2023-05-03T17:47:31.000Z,1683136051,78,497,14,1
13,2023-05-03T12:03:28.000Z,1683115408,39,551,33,1
14,2023-05-02T14:34:43.000Z,1683038083,79,1128,70,1
15,2023-05-01T20:24:26.000Z,1682972666,17,139,7,1
16,2023-05-01T12:49:58.000Z,1682945398,216,1393,149,1
17,2023-04-28T15:09:09.000Z,1682694549,148,1890,238,1
18,2023-04-25T10:43:57.000Z,1682419437,17,258,6,1
19,2023-04-24T11:37:13.000Z,1682336233,18,543,21,0
20,2023-04-22T18:51:00.000Z,1682189460,53,365,3,0
