"comments","facebookId","facebookUrl","feedbackId","likes","media/0/__isMedia","media/0/__typename","media/0/accent_color","media/0/id","media/0/ocrText","media/0/photo_image/height","media/0/photo_image/uri","media/0/photo_image/width","media/0/url","pageName","postId","shares","text","time","timestamp","topLevelUrl","url"
"1","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjMyNDAxNzk4OTMyMDkx","19","Photo","Photo","FFFDFDFD","632399418932329","May be an image of ‎2 people, bread, poster, pie and ‎text that says '‎ندوة ویب :حول أهمية التنوع الحيوي BrunodeGiust.CCBA2.5IT يلتقي د ميشيل بكني مع شادي همبو، الباحث في علم المناعة للحديث عن تصنيف علم الأحياء ومشكلاته في إطار حملة ويكي تغير المناخ 2023 21 مايو UTC 17.00 16.00 قناة زوم عبر الإنترنت ستبث عبر اليوتيوب صفحة للجلسة على ويكيبيديا العربية شادي همبو الضيف WIKIMEDIA OUNDATIO جامعة دریسدن .التقنية میشیل بكني المُضيف 1 شادي :همبو ماجستير في علم الأحياء الجزبئي من ميلانو ،إيطاليا وباحث درجة الدكتوراه بعلم للناعة ميشيل :بكني أستاذفق الهندسة الإلكترونية مدرسة إستيا للهندسة فرنسة وإداري ويكيبيديا .العربية‎'‎‎","540","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/347103407_198542539722474_8145005903013643454_n.jpg?stp=dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=c7Z0j_fBsMMAX_iR9mB&_nc_ht=scontent-iad3-2.xx&oh=00_AfCooK0iOH994y5LidLtLtNMTTt0zKPadM-6l3jgKlTdzA&oe=6465F82C","959","https://www.facebook.com/photo/?fbid=632399418932329&set=a.555990779906527","Arabic Wikipedia - ويكيبيديا العربية","632401798932091","6","دعوة عامة للمشاركة في ندوة ويب تنظمها حملة مكافحة تغيير المناخ في المنطقة العربية.

يعقد منظمو حملة ويكي تغير المناخ للمنطقة العربية ندوة ويب حول أهمية التنوع الحيوي بالعربية، ضيف الندوة هو الباحث في علم المناعة الخلوية في جامعة دريسدن التقنية شادي همبو، ويحاوره د. ميشيل بكني.

ستكون الجلسة يوم الأحد 21 مايو (آيار) في تمام الساعة 16.00 بالتوقيت العالمي المنسق  عبر منصة زوم وسترفع لاحقًا على اليوتيوب.
يمكنك التسجيل للحضور عبر الرابط: https://forms.gle/TzA3Q6CAwGUV6Njd8
أو عبر مسح رمز الاستجابة السريعة (QR code) في الصورة المرفقة.
رابط الندوة على ويكيبيديا العربية: https://w.wiki/6gL8","2023-05-14T14:06:27.000Z","1684073187","https://www.facebook.com/100064868280630/posts/632401798932091","https://www.facebook.com/ArabicWikipedia/posts/pfbid02iBU1ET5CfHhthtdVzJp4weqiLakkWEg2ff6CLjDqmgrGyCRRehJEAeEGgdwzN73bl"
"19","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjMxNzIyNTk1NjY2Njc4","150","Photo","Photo","FF0E1C0D","631722575666680","May be an image of flag and text that says 'UNITED NATIONS NATIONS UNIES'","540","https://scontent.ftpa1-1.fna.fbcdn.net/v/t39.30808-6/346822883_1473496306793100_7011156379692964762_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=Jiq4Q9r-0iYAX_T9Cyq&_nc_ht=scontent.ftpa1-1.fna&oh=00_AfCYq99DblM7mqrEvrwKmGGNcs7C0fWlvT-Naa3neipZVw&oe=6465F157","811","https://www.facebook.com/photo/?fbid=631722575666680&set=a.555990773239861","Arabic Wikipedia - ويكيبيديا العربية","631722595666678","10","إن مفهوم الوطنية والانتماء لبلد معين بشكله الحالي لم يصل إلى المفهوم المعاصر إلا في أواخر القرن التاسع عشر الميلادي، أما فيما سبق فإن الانتماء أو النسبة إلى بلد معين كان متعلقا بعوامل مختلفة مثل العرق والقبيلة والولاءات المختلفة الأخرى أو مجرد الإقامة في ذلك البلد. عموما فإن الأفراد المقيمين في بلد ما كانوا رعايا وليسوا مواطنين.
كما أن نسبة دول سابقة في القرون الماضية إلى بلدان معاصرة ليس أمرا مقبول من الناحية التاريخية أو الجغرافية، فلا يمكن أن ندعي أن الدولة العباسية هي نفسها جمهورية العراق حاليا وكذلك أن ندعي أن الدولة الأموية هي نفسها الجمهورية العربية السورية ولا حتى أن ندعي أن الدولة الفاطمية هي نفسها جمهورية مصر العربية.
حتى لو كان هنالك تقارب في الحدود التاريخية مع الحدود المعاصرة فإنه لا يمكن لأي دولة حالية أن تعد وريثة لدولة تاريخية دون ارتباط مباشر او تسلسل زمني مباشر كما في حالة بعض الجمهوريات التي أتت مباشرة بعد نظم ملكية سابقة في تلك البلدان.
من أمثلة الانتماءات غير المقبولة في ويكيبيديا العربية على سبيل المثال أن ندعي أن الحسن بن الهيثم على سبيل المثال كان عراقيا أو مصريا رغم إنه ولد في البصرة أيام فترة الهيمنة البويهية على الدولة العباسية وأقام في مصر أيام الدولة الفاطمية.
كذلك لا يمكن أن نحصر انتماء عبد الرحمن بن خلدون ببلد معين، فقد ولد في تونس أيام الدولة الحفصية وأقام في الدولة المرينية في الجزائر والمغرب المعاصرتين وفي إمارة غرناطة في الأندلس وفي الدولة المملوكية في مصر والشام، وفي كل هذه الدول كان له دور مهم فيها.

لمطالعة مقالة وطنية من الرابط في التعليقات

الصورة لقصر الأمم وهو مبنى الأمم المتحدة في جنيف وهو ثاني أهم مركز للأمم المتحدة بعد مقر الأمم المتحدة في نيويورك 

الصورة من إبداع المستخدم Abhi018 وهي منشورة برخصة المشاع الإبداعي CC-BY-SA-4.0","2023-05-13T12:28:02.000Z","1683980882","https://www.facebook.com/100064868280630/posts/631722595666678","https://www.facebook.com/ArabicWikipedia/posts/pfbid02W1XpnQU1gKsgGXuNGSWbKoKnpzASyKAZVS6yva9iResprTVFjvYfvEqNbX4dypWWl"
"6","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjMxMDUzOTEyNDAwMjEz","178","Photo","Photo","FF171614","631053892400215","May be an image of text","521","https://scontent.fbhx4-2.fna.fbcdn.net/v/t39.30808-6/345635410_779357690245509_1512682052879466969_n.jpg?stp=dst-jpg_p552x414&_nc_cat=106&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=cbWyVtzqOCIAX-CDIsK&_nc_oc=AQk174I4Tv8YHZOJ_o4N3ubnjjVAGQ4agUiRvWeE1Bb0D3ToHc5J1QRVfcWnlU7Kazw&_nc_ht=scontent.fbhx4-2.fna&oh=00_AfAWnmPFjneVytnG3GlFaJTM8vjBEQp2PFIvxqMJHBPyrw&oe=64679A91","552","https://www.facebook.com/photo/?fbid=631053892400215&set=a.555990773239861","Arabic Wikipedia - ويكيبيديا العربية","631053912400213","4","أهلا وسهلا من ويكيبيديا العربية
اليوم هو الجمعة الثاني والعشرون من شوال 1444 هـ الموافق للثاني عشر من شهر أيار/مايو 2023 م

الصورة لباحة مسجد الجمعة في بورت لويس عاصمة موريشيوس
CC-0","2023-05-12T10:25:11.000Z","1683887111","https://www.facebook.com/100064868280630/posts/631053912400213","https://www.facebook.com/ArabicWikipedia/posts/pfbid02Aov8KoS96Q1hRhKM1GUG4EYRMB1XrWTaw6eeD8xJFxP5rvzc6JNY2hiUxnSvEANel"
"21","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjMwNjk2ODU1NzY5MjUy","139","Photo","Photo","FF927869","630696835769254","May be an image of 1 person, the Western Wall and text","536","https://scontent.fjbr1-1.fna.fbcdn.net/v/t39.30808-6/346477672_757210749329140_6582589591391971042_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=rAeKk0Ixk-kAX-7tGDo&_nc_ht=scontent.fjbr1-1.fna&oh=00_AfBNBYr3DwhFwaxUPDY1UcyzkwsR8BJrVLGo1_3Q6i9J8Q&oe=646785FD","800","https://www.facebook.com/photo/?fbid=630696835769254&set=a.555990773239861","Arabic Wikipedia - ويكيبيديا العربية","630696855769252","7","في هذا اليوم 11 مايو، تمر علينا الذكرى السنوية الأولى لاغتيال الصحافية الفلسطينية شيرين أبو عاقلة على يد جيش الاحتلال الإسرائيلي خلال تغطيتها لتوغله واقتحامه مخيم جنين.
عملت شيرين مراسلةً إخباريّة لشبكة الجزيرة الإعلاميّة بين عامي 1997 و2022، وكانت من أبرز الصحفيين في العالم العربي، وهي مراسلة مخضرمة، حيثُ وُصفت بعد وفاتها بأنها من «أبرز الشخصيات في وسائل الإعلام العربية». تضمنت حياتها المهنية تغطية الأحداث الفلسطينية الكبرى بما في ذلك الانتفاضة الثانية بالإضافة إلى تحليل السياسة الإسرائيلية. وكانت تقاريرها الحية على التلفزيون والإشارات المميزة معروفة جيدًا.
Al Jazeera Media Network, CC BY-SA 4.0.","2023-05-11T17:50:50.000Z","1683827450","https://www.facebook.com/100064868280630/posts/630696855769252","https://www.facebook.com/ArabicWikipedia/posts/pfbid02PmwLKNYDr75uGZ2juPG95bmNrj1pracMBm4MWpEZWiEzwfDwDm6xz5FNFz9CJNhAl"
"36","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjMwNDUzMjM1NzkzNjE0","506",,,,,,,,,,"Arabic Wikipedia - ويكيبيديا العربية","630453235793614","4","ذكر ابن عبد ربه في العقد الفريد أن قومًا دخلوا دار رجلٍ اسمه كردم السدوسي، فقالوا له: أين القبلة في دارك هذه؟ فقال: إنما سكنّاها منذ ستة أشهر. 🙂","2023-05-11T08:48:07.000Z","1683794887","https://www.facebook.com/100064868280630/posts/630453235793614","https://www.facebook.com/ArabicWikipedia/posts/pfbid02FbCbq94pPEJpStozjRxn4HiN9G4MbK2DdG7VvgRQLWjSToqfFCcgdKkj1tHq2mwHl"
"57","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjMwMDk2MjQyNDk1OTgw","2642","Photo","Photo","FF604F3F","630096189162652","May be an image of text","533","https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/346036788_158707847145427_7372107029396145335_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=LEYQNNBBgh0AX_funjJ&_nc_ht=scontent-atl3-1.xx&oh=00_AfCBWAst6jOQ1lQ9DLmYyx5CZnqX65Z0PUQxWozMcaYrog&oe=6466C90E","800","https://www.facebook.com/photo/?fbid=630096189162652&set=a.555990779906527","Arabic Wikipedia - ويكيبيديا العربية","630096242495980","55","هل تعلم أنَّ أعلى درجة حرارة سجلت على سطح الأرض كانت في صحراء لوط عام 2008، حيث بلغت 71 درجة مئوية (159 فهرنهايت)؟

تقع صحراء لوط في جنوب شرق إيران، وهي من أكبر الصحاري في آسيا الوسطى. إذ تبلغ مساحتها الإجمالية 51,800 كيلومتر مربع (20,000 ميل مربع).","2023-05-10T16:49:44.000Z","1683737384","https://www.facebook.com/100064868280630/posts/630096242495980","https://www.facebook.com/ArabicWikipedia/posts/pfbid0sji4SDFbZqZkMsKCNomU9rwrLNjzPR2ZgG1SEMmvqurFh3dDmDttWLatH7jQoaAEl"
"44","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjI5MDA1MDYyNjA1MDk4","355","Photo","Photo","FFFFFFFF","629004865938451","May be an illustration of text","316","https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/345617510_1777468529321983_5849689910004387809_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=9LoJay1BbJEAX8GF6V-&_nc_ht=scontent-lax3-2.xx&oh=00_AfDIkNDUDmZ3pOu8QKgfH8rPNvOpMJEGQGRkAZsGVQ7QtA&oe=64671F6E","558","https://www.facebook.com/photo/?fbid=629004865938451&set=a.555990779906527","Arabic Wikipedia - ويكيبيديا العربية","629005062605098","5","اليعسوب: مَلِكَّةٌ النَّحل، وهي أنثى. وكانت العرب تظُنها ذَكَراً لضَخامَتها. ويُقال : (هو يعسوب قَؤْمه) ؛ أي : ريسُهم وكبيرهم ومُقَدَّمُهُمْ . (ج) يَعَاسِيبٌ . 

من مادة عَسَب في المعجم المدرسي الذي أعده محمد خير أبو حرب، رحمه الله (المقالة في التعليق الأول والصورة مأخوذة من المعجم ومستعملة برخصة الاستعمال العادل).","2023-05-08T19:34:03.000Z","1683574443","https://www.facebook.com/100064868280630/posts/629005062605098","https://www.facebook.com/ArabicWikipedia/posts/pfbid035AcWbBbRLZEDwnUp7bUpmyWTPZPsynwthhSMjsuXozKKo6gCMELeGLAn5YykttFql"
"20","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjI3NDcwNjIyNzU4NTQy","104","Photo","Photo","FF685E5F","627470589425212","May be an image of York Minster and text","600","https://scontent.fpos3-1.fna.fbcdn.net/v/t39.30808-6/345070424_951017789385971_2751725812232236636_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=bOaVU2D4skoAX_pYOTH&_nc_ht=scontent.fpos3-1.fna&oh=00_AfA52T1dPmuGLYE7cTJoG7ddEy8ZwkbMRmTBMK2TfaSFhQ&oe=646761A3","450","https://www.facebook.com/photo/?fbid=627470589425212&set=a.555990773239861","Arabic Wikipedia - ويكيبيديا العربية","627470622758542","4","احتفالات تتويج ملوك بريطانيا هي مراسيم تتويج ملوك المملكة المتحدة رسميًّا ومنحهم المجوهرات الملكية الدالة على تملكهم سلطة الملك وحقوقه. وهي تشبه المراسيم الأوروبية لتتويج الملوك في العصور الوسطى.
يُتوج الملك عادة بعد عدة شهور من وفاة الملك السابق؛ لاعتبار التتويج مناسبة مبهجة ليس من اللائق الاحتفال بها خلال فترة الحداد. ولأن ذلك يمنح منظمي الاحتفال وقتًا كافيًا للانتهاء من تحضيراتهم المدروسة بعناية، فعلى سبيل المثال، اعتلت الملكة إليزابيث الثانية العرش في السادس من فبراير عام 1952، إلا أنها توجت في الثاني من يونيو عام 1953.
يتولّى رئيس أساقفة كانتربري إجراء مراسم التتويج، بصفته صاحب المنصب الأرفع بين رجال الدين في كنيسة إنجلترا. كما يضطلع رجال الدين والنبلاء الآخرون بأدوار مختلفة. ويجب على معظم المشاركين في المراسيم ارتداء أزياء احتفالية خاصة. ويحضر الاحتفالية الكثير من المدعوين والمسؤولين الحكوميين وممثلي الدول الأجنبية.
يظهر في الصورة دير وستمنستر حيث تعقد مراسم التتويج.
ChrisO, CC BY-SA 3.0.","2023-05-06T10:33:44.000Z","1683369224","https://www.facebook.com/100064868280630/posts/627470622758542","https://www.facebook.com/ArabicWikipedia/posts/pfbid027cUgKftpimNkmbCtsv48Bxm8izJLXxuXBFfbPw8tthMc8hqdipuGwPJfAPuNm2tpl"
"25","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjI2ODQ3ODI5NDg3NDg4","348",,,,,,,,,,"Arabic Wikipedia - ويكيبيديا العربية","626847829487488","19","قال الإمام ابن حزم الأندلسي -المتوفى 456 هـ الموافق 1064م-:
ولقد أخبرني مؤدبي أحمد بن محمد بن عبد الوارث -رحمه الله- أن أباه صوّر لمولودٍ كان له أعمى وُلد أكمه حروفَ الهجاء أجرامًا من قير ثم ألمسه إياها حتى وقف على صورها بعقله وحسه، ثم ألمسه تراكيبها وقيام الأشياء منها حتى تشكل الخط وكيف يستبان الكتاب ويقرأ في نفسه ورفع بذلك عنه غمة عظيمة.","2023-05-05T12:47:01.000Z","1683290821","https://www.facebook.com/100064868280630/posts/626847829487488","https://www.facebook.com/ArabicWikipedia/posts/pfbid0k93cpStybc4bxB46nFnPkBA7TtWFeEPKB2xopciRzWWJd2rr1iuBD9pMzF7TbXDvl"
"36","100064868280630","https://www.facebook.com/ArabicWikipedia","ZmVlZGJhY2s6NjI2MDk2MzYyODk1OTY4","299","Photo","Photo","FFF2F2F2","626096346229303","May be an image of text","502","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/344437588_1003649397290321_6447744973257781717_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=t7njRbkCfwkAX_OI5wC&_nc_ht=scontent-atl3-2.xx&oh=00_AfColwAnHYoaYXN4jYlDlWJPtOEezwBA9RMxuHQSarqPJA&oe=6465DC13","720","https://www.facebook.com/photo/?fbid=626096346229303&set=a.555990779906527","Arabic Wikipedia - ويكيبيديا العربية","626096362895968","2","المقالات الأكثر مشاهدةً في ويكيبيديا العربية لشهر أبريل 2023.","2023-05-04T11:00:01.000Z","1683198001","https://www.facebook.com/100064868280630/posts/626096362895968","https://www.facebook.com/ArabicWikipedia/posts/pfbid0hneCG5bNDtL9pCuZ7fVnoErPBdPM5cevdoC2SFKCYrfUkKoHzqkNcDCKLqvBEoo9l"
