PostId,time,timestamp,comments,likes,shares,ranking
1,2023-05-15T08:30:00.000Z,1684139400,26,250,17,0
2,2023-05-15T07:00:00.000Z,1684134000,36,347,23,1
3,2023-05-15T05:30:01.000Z,1684128601,353,1203,49,1
4,2023-05-15T04:00:01.000Z,1684123201,8,160,15,1
5,2023-05-15T03:15:01.000Z,1684120501,56,1075,25,0
6,2023-05-15T02:30:27.000Z,1684117827,117,1085,30,1
7,2023-05-15T01:00:03.000Z,1684112403,50,542,52,1
8,2023-05-14T22:00:00.000Z,1684101600,4,211,12,1
9,2023-05-14T20:33:01.000Z,1684096381,258,4086,129,0
10,2023-05-14T19:00:01.000Z,1684090801,315,12784,582,1
11,2023-05-14T17:30:02.000Z,1684085402,384,10205,1632,0
12,2023-05-14T16:01:02.000Z,1684080062,38,652,55,1
13,2023-05-14T14:33:00.000Z,1684074780,94,3119,219,0
14,2023-05-14T13:00:56.000Z,1684069256,46,1162,163,1
15,2023-05-14T11:33:00.000Z,1684063980,165,2497,163,1
16,2023-05-14T10:00:02.000Z,1684058402,224,5515,623,0
17,2023-05-14T08:30:00.000Z,1684053000,18,491,57,1
18,2023-05-14T07:00:01.000Z,1684047601,27,650,31,1
19,2023-05-14T07:00:01.000Z,1684047601,126,2024,226,1
20,2023-05-14T07:00:00.000Z,1684047600,111,3141,333,1
21,2023-05-14T05:33:01.000Z,1684042381,62,5510,160,1
22,2023-05-14T04:01:01.000Z,1684036861,38,575,53,1
23,2023-05-14T01:00:01.000Z,1684026001,3,69,1,1
24,2023-05-13T23:33:01.000Z,1684020781,139,5010,686,0
25,2023-05-13T22:00:01.000Z,1684015201,12,257,13,1
26,2023-05-13T22:00:00.000Z,1684015200,223,343,19,1
27,2023-05-13T20:33:00.000Z,1684009980,14,684,52,0
28,2023-05-13T19:00:01.000Z,1684004401,289,14406,1233,0
29,2023-05-13T17:33:01.000Z,1683999181,102,6061,485,1
30,2023-05-13T16:01:02.000Z,1683993662,136,2333,207,1
