PostId,time,timestamp,comments,likes,shares,ranking
1,2023-04-12T19:00:52.000Z,1681326052,148,565,1,0
2,2023-02-23T15:45:00.000Z,1677167100,2704,2653,6,1
3,2023-01-18T17:39:00.000Z,1674063540,67,2172,6,1
4,2022-12-20T18:53:15.000Z,1671562395,312,3714,10,0
5,2022-11-28T15:02:52.000Z,1669647772,20,383,1,0
6,2022-11-22T17:22:55.000Z,1669137775,645,20733,42,1
7,2022-11-15T17:02:06.000Z,1668531726,11,371,2,1
8,2022-11-12T15:07:01.000Z,1668265621,120,6633,13,1
9,2022-11-09T14:22:09.000Z,1668003729,110,3098,12,0
10,2022-10-25T19:37:28.000Z,1666726648,42,793,0,1
11,2022-10-24T09:17:45.000Z,1666603065,200,16539,6,1
12,2022-10-20T12:29:07.000Z,1666268947,358,19562,30,1
13,2022-08-17T15:34:01.000Z,1660750441,258,9183,42,0
14,2022-08-12T16:36:11.000Z,1660322171,444,10501,40,1
15,2022-08-09T14:58:52.000Z,1660057132,1091,21532,96,1
16,2022-08-08T15:33:37.000Z,1659972817,185,3241,7,1
17,2022-08-04T15:21:57.000Z,1659626517,2943,66058,492,1
18,2022-08-03T12:00:04.000Z,1659528004,415,8554,76,0
19,2022-08-02T11:03:50.000Z,1659438230,61,1438,4,1
20,2022-07-22T15:08:56.000Z,1658502536,301,21231,71,0
