PostId,comments,likes,shares,time,timestamp,ranking
1,781,63712,1468,2023-05-16T04:00:02.000Z,1684209602,1
2,1449,85652,4296,2023-05-16T00:18:13.000Z,1684196293,1
3,1034,65412,6607,2023-05-15T20:22:25.000Z,1684182145,0
4,1009,88245,3511,2023-05-15T19:39:17.000Z,1684179557,0
5,2214,199712,5901,2023-05-15T17:42:18.000Z,1684172538,0
6,4547,282300,10966,2023-05-15T17:05:17.000Z,1684170317,0
7,27551,116940,7331,2023-05-15T16:00:24.000Z,1684166424,0
8,257,26474,398,2023-05-15T15:03:29.000Z,1684163009,1
9,575,45537,792,2023-05-15T14:30:52.000Z,1684161052,0
10,2325,92496,8076,2023-05-15T13:30:35.000Z,1684157435,0
11,1083,80519,2832,2023-05-15T12:00:49.000Z,1684152049,1
12,1245,109712,549,2023-05-15T10:00:03.000Z,1684144803,0
13,4819,205769,3208,2023-05-15T07:00:40.000Z,1684134040,0
14,2739,276976,2329,2023-05-15T05:00:28.000Z,1684126828,0
15,4160,228769,8463,2023-05-15T02:00:13.000Z,1684116013,0
16,7239,331968,7195,2023-05-15T00:00:21.000Z,1684108821,1
17,7051,294708,14629,2023-05-14T23:00:31.000Z,1684105231,0
18,1329,105065,3029,2023-05-14T22:27:12.000Z,1684103232,1
19,11482,301249,41188,2023-05-14T21:52:59.000Z,1684101179,1
20,4301,184653,17802,2023-05-14T21:17:02.000Z,1684099022,1
