PostId,comments,likes,shares,time,timestamp,ranking
1,35755,1086951,6491,2023-05-13T19:00:32.000Z,1684004432,1
2,12156,270967,1193,2023-05-12T19:00:05.000Z,1683918005,0
3,46471,1232524,16310,2023-05-11T19:00:32.000Z,1683831605,0
4,46000,1200000,16000,2023-05-12T19:00:05.000Z,1683745205,0
5,102000,1900000,40000,2023-04-30T19:00:32.000Z,1683658805,0
6,37000,833000,8900,2023-04-29T19:00:05.000Z,1683572405,1
7,32000,737000,5200,2023-04-26T19:00:32.000Z,1683226805,1
8,47000,1000000,8900,2023-04-22T19:00:05.000Z,1682967605,1
9,107000,2400000,22000,2023-04-18T19:00:32.000Z,1682794805,0
10,39000,921000,9200,2023-04-16T19:00:05.000Z,1682449205,1
11,56000,1000000,18000,2021-03-24T19:00:32.000Z,1621278005,1
12,45000,1500000,6400,2021-03-20T19:00:05.000Z,1620932405,1
13,33000,817000,4900,2021-03-13T19:00:32.000Z,1620327605,1
