PostId,time,timestamp,shares,comments,likes,ranking
1,2023-05-14T20:16:37.000Z,1684095397,1,77,1017,1
2,2023-05-14T19:40:19.000Z,1684093219,5,143,1729,1
3,2023-05-09T16:21:36.000Z,1683649296,0,143,1858,1
4,2023-05-09T08:27:50.000Z,1683620870,678,1063,22439,1
5,2023-05-07T10:33:01.000Z,1683455581,5,424,3424,0
6,2023-05-07T07:59:37.000Z,1683446377,0,517,4117,0
7,2023-05-04T09:42:44.000Z,1683193364,11,674,5434,0
8,2023-04-24T21:10:35.000Z,1682370635,11,126,2035,0
9,2023-04-18T13:55:06.000Z,1681826106,0,181,2513,0
10,2023-04-18T11:45:07.000Z,1681818307,1,230,2539,1
11,2023-04-18T11:38:11.000Z,1681817891,4,243,3182,1
12,2023-04-17T23:40:03.000Z,1681774803,0,386,3131,0
13,2023-04-17T19:38:47.000Z,1681760327,2,357,3010,0
14,2023-04-17T13:18:32.000Z,1681737512,98,705,8323,1
15,2023-04-15T12:11:45.000Z,1681560705,2,173,2242,1
16,2023-04-15T00:24:38.000Z,1681518278,3,365,2237,1
17,2023-04-12T21:55:46.000Z,1681336546,6,354,3416,1
18,2023-04-12T18:04:37.000Z,1681322677,1,241,2571,0
19,2023-04-11T09:50:00.000Z,1681206600,2,407,2556,0
20,2023-04-06T22:28:47.000Z,1680820127,5,100,2694,0
