"comments","facebookId","facebookUrl","feedbackId","likes","media/0/__isMedia","media/0/__typename","media/0/accent_color","media/0/id","media/0/ocrText","media/0/photo_image/height","media/0/photo_image/uri","media/0/photo_image/width","media/0/url","pageName","postId","shares","text","time","timestamp","topLevelUrl","url"
"77","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjMxMTI1MDg1NzE5MzU1","1017",,,,,,,,,,"حاجز مشترك  hajez moshtarak","631125085719355","1","رجب طيب أردوغان في الصدارة حتى الآن بعد فرز 90‎%‎ من الأصوات بنسبة 49‎%‎ 
مع وجود منافسة قوية من المرشح #أوغلو بنسبة 44‎%‎","2023-05-14T20:16:37.000Z","1684095397","https://www.facebook.com/100064656070882/posts/631125085719355","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02EEMKSp9Y6tT1v6yoU2aLrTwCKHM9UZXSezrFyjGhtAGeUPey32dm488pkLimnWnal"
"143","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjMxMTEwNjc5MDU0MTI5","1729","Photo","Photo","FFE8DFD6","631110635720800","May be a meme of 1 person, smoking and turban","182","https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/346660826_271876321930600_6797403150580390231_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=Kk864mPUOmIAX_txpRQ&_nc_oc=AQmfiqOYMbGA0_9v80tZmFVNxc2yU0CIJW6-cKnPpIxtiudQFodnjFXxqvRpdtGTCG2Qi2j90zwpGQJ9csNS6nvw&_nc_ht=scontent-lcy1-1.xx&oh=00_AfAwxkyOUVBh3ZWn5k8lms7KFjLaTcnYjE4InjRJympCeg&oe=64660424","274","https://www.facebook.com/photo/?fbid=631110635720800&set=a.479436644221534","حاجز مشترك  hajez moshtarak","631110679054129","5","السوريين بتركيا حاليا ..","2023-05-14T19:40:19.000Z","1684093219","https://www.facebook.com/100064656070882/posts/631110679054129","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid0mcZG7uDQfs3P1ZwzdSCQsSC8mfs4BGY4EFM6AsbWPDHT4qTFcwuLvWUunA4SXeo5l"
"143","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjI3ODU0ODY2MDQ2Mzc3","1858",,,,,,,,,,"حاجز مشترك  hajez moshtarak","627854866046377","0","أنباء عن إغلاق العديد من الشوارع في مدينة ‎#حمص من قبل #المخابرات بعد ورود أنباء عن وجود سيارة مفخـ_ـخة في المدينة

نتمنى السلامة للجميع 🙏🏻","2023-05-09T16:21:36.000Z","1683649296","https://www.facebook.com/100064656070882/posts/627854866046377","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid0vH2sqcPZwHW1XLwSr9bduRUFYQHqC1d5nC1kwzvEguaRKvz1pkoCf5emqV6j9ctgl"
"1063","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjI3NjIwOTY5NDAzMTAw","22439","Photo","Photo","FF040205","627620886069775","May be an image of 2 people, beard, television, screen and text","330","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/345854072_191985590395550_6285646138616198306_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=KJevCIdQr1cAX93R7NO&_nc_ht=scontent-iad3-1.xx&oh=00_AfAjmEElN_1lp0ZCDiYOLd_wdBdtcrhMCTRu3c5JlLrV0Q&oe=6466F8F6","478","https://www.facebook.com/photo/?fbid=627620886069775&set=a.479436644221534","حاجز مشترك  hajez moshtarak","627620969403100","678","- أنا بكرا مالي جاية.

- أي لا تجي. ليش مالح تجي

- بدي روح عالسيرك.

- أي روح. ليش بدك تروح يعني بحياتك مو رايح

- والله بحياتي مو رايح عالسيرك.

- لعما! والله يلي بيسمعك بصدق هاه. بصدق أنو بعمرك مو رايح عالسيرك.

- أي أنا عنجد بحياتي مو رايح عالسيرك.

- خلص بقا يا زلمة أنت رايح بصغرك بس نسيت.

- والله العظيم ماني رايح.

- هلأ بدك تقنعني أنو بعمرك مانك شايف كام واحد عم يتحكموا بكائنات حية من كل الأنواع 

- لا. بس دائماً بستغرب هيك أنو كيف قدروا يتحكموا فيها لهي الكائنات كلا

- لا تستغرب أول شي بيعزلوها بقفص كبير منشان تنسى حريتها بعدين ببلشوا يجوعوها حتى تصير ما تفكر غير بالأكل بعدين بيربطوا الأكل عند شغلة لازم تعملا و مرة ورا مرة بتتعود و بتصير بتعمل المطلوب منشان ما تموت من الجوع.

- طيب مافي طريقة تانية يتحكموا فيها بدون ما يجوعوها؟؟

- لا لا في طريقة تانية طبعاً ..أحياناً بيستخدموا أسلوب العصا و الجزرة أحياناً في أسلوب السياسة أحياناً بالتهديد و الخوف، أحياناً بيضربوها لهيك بتشوف الدب راكب سيارة و الفيل عم يلعب بالطابة و السعدان عم بغني و يدق عالطبل و الكلاب عم بتمشي عإيديها و هيك يعني . . 
شبك ليش ساكت ؟!

- ما بعرف بس حاسس هاد الحكي كلو و كأني بعرفو.

- أنت ما بس مارق عليك  أنت مجربو كمان بس نسيت  نسيت..

بقعة ضوء ..
غداً نرتقي ..","2023-05-09T08:27:50.000Z","1683620870","https://www.facebook.com/100064656070882/posts/627620969403100","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02mTboG4Rj7UtnFAB7WSeHSh3YxutVE8QZNyzaJLAtAbnysSwbABDkGBTixtJsk1PCl"
"424","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjI2MzQyMzg2MTk3NjI1","3424","Photo","Photo","FF020202","626342362864294","May be an image of 3 people, flag and text","516","https://scontent.ftpf1-1.fna.fbcdn.net/v/t39.30808-6/345481311_199229599641106_1009656561590949628_n.jpg?stp=dst-jpg_s720x720&_nc_cat=111&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=0XjwFP1YaEAAX8OPOlc&_nc_ht=scontent.ftpf1-1.fna&oh=00_AfDUcTk09gKmXlSnD_iMveaNHdVOmXOXfidC-NYLvo4eEA&oe=64678438","720","https://www.facebook.com/photo/?fbid=626342362864294&set=a.479436644221534","حاجز مشترك  hajez moshtarak","626342386197625","5","#وزراء_الخارجية_العرب يوافقون #بالإجماع على عودة #سورية إلى الجامعة العربية

ومن المتوقع أن يترأس الرئيس #بشار_الأسد وفد الجمهورية العربية السورية إلى قمه الرياض 19 أيار.","2023-05-07T10:33:01.000Z","1683455581","https://www.facebook.com/100064656070882/posts/626342386197625","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02F5H4NqufrSABuz4aVzvWUQqQB8KRh34eLjxc6wZV5diahJytD3AJmEFtBwwbJ5ral"
"517","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjI2MjcyMDA5NTM3OTk2","4117",,,,,,,,,,"حاجز مشترك  hajez moshtarak","626272009537996","0","8700 صباح الخير يا سورية 🇸🇾","2023-05-07T07:59:37.000Z","1683446377","https://www.facebook.com/100064656070882/posts/626272009537996","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02gQGCUvrBMHMadikMuYRutLBqVjDyvjni3zGJYrsJAWzhuuDtWthoBNqizFRioEa2l"
"674","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjI0MzQxNDA2Mzk3NzIz","5434","Photo","Photo","FF222327","624340513064479","May be a Twitter screenshot of text","304","https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/345248248_139294369122594_1267455049284301657_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=1wCdmqD2WiYAX9cNzkq&_nc_ht=scontent-lax3-2.xx&oh=00_AfBoboI0eqBC2ickUZWVRKs02th7VWPm4EZvlM0eZKfTmg&oe=6465FC94","480","https://www.facebook.com/photo/?fbid=624340513064479&set=a.479436644221534","حاجز مشترك  hajez moshtarak","624341406397723","11","دونم أرض في تنظيم كفرسوسة للمداكشة على باقة سيريتل

#حاجز_مشترك","2023-05-04T09:42:44.000Z","1683193364","https://www.facebook.com/100064656070882/posts/624341406397723","https://www.facebook.com/alhajez.almoshtarak/posts/624341406397723"
"126","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjE4MTAyMjgzNjg4MzAy","2035",,,,,,,,,,"حاجز مشترك  hajez moshtarak","618102283688302","11","أدوات الجزم : لا الناهية .. لم .. لام الأمر 
أدوات النصب :   MTN .. سيرياتيل
أقرب إليك💆","2023-04-24T21:10:35.000Z","1682370635","https://www.facebook.com/100064656070882/posts/618102283688302","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02bjrkf88Ci3zHWXbG3dqfJ5rjyXCuWV59eU3Twcdu7TsXjfVRUiUHy1Vd3eSXWhSdl"
"181","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjE0MjUzNjI0MDczMTY4","2513",,,,,,,,,,"حاجز مشترك  hajez moshtarak","614253624073168","0","تكويعة سريعة ثانية #للكويت وتتراجع عن إرسال وزير خارجيتها إلى سوريا الخميس المقبل

🤣🤣🤣","2023-04-18T13:55:06.000Z","1681826106","https://www.facebook.com/100064656070882/posts/614253624073168","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02nbLyi4n3zQqnXPMzrRVNvYB732Hd39SBd6dCZG3FGvcRyeWNszdvWeCyDC7mjwULl"
"230","100064656070882","https://www.facebook.com/alhajez.almoshtarak","ZmVlZGJhY2s6NjE0MTk0NDAwNzQ1NzU3","2539",,,,,,,,,,"حاجز مشترك  hajez moshtarak","614194400745757","1","الكويت قبل أسبوع: موقفنا واضح وثابت من الأسد ولن نقبل تعويم الأسد ولن نغير موقفنا

الكويت اليوم: وزير خارجية الكويت يزور دمشق الخميس المقبل

الكويت منذ قليل: لا يوجد زيارة لوزير الخارجية إلى دمشق الخميس المقبل

🤣🤣🤣","2023-04-18T11:45:07.000Z","1681818307","https://www.facebook.com/100064656070882/posts/614194400745757","https://www.facebook.com/alhajez.almoshtarak/posts/pfbid02QNEGX1XTMeFTnmn2hpGpp6zdK8oFTbJDzov48EZmDK9zV3CPgZ7vVaiitP5skXyGl"
