PostId,time,timestamp,comments,shares,likes,ranking
1.00E+00,2023-05-13T14:53:57.000Z,1683989637,5,2,208,1
2.00E+00,2023-05-13T14:46:17.000Z,1683989177,13,2,395,0
3.00E+00,2023-05-13T14:34:01.000Z,1683988441,58,4,408,0
4.00E+00,2023-05-13T11:15:42.000Z,1683976542,17,5,992,NaN
5.00E+00,2023-05-13T09:49:06.000Z,1683971346,23,2,1079,0
6.00E+00,2023-05-12T10:47:45.000Z,1683888465,14,9,578,1
7.00E+00,2023-05-12T10:27:56.000Z,1683887276,281,11,1590,1
8.00E+00,2023-05-11T15:16:04.000Z,1683818164,524,25,6240,1
9.00E+00,2023-05-11T15:10:39.000Z,1683817839,7,3,505,0
1.00E+01,2023-05-11T12:34:06.000Z,1683808446,236,18,1817,1
1.10E+01,2023-05-11T11:40:34.000Z,1683805234,239,16,3422,1
1.20E+01,2023-05-11T10:42:15.000Z,1683801735,1117,39,3555,1
1.30E+01,2023-05-11T07:27:57.000Z,1683790077,18,16,426,1
1.40E+01,2023-05-11T06:07:29.000Z,1683785249,9,3,540,0
1.50E+01,2023-05-10T15:18:06.000Z,1683731886,13,6,704,1
1.60E+01,2023-05-10T15:09:36.000Z,1683731376,22,5,388,NaN
1.70E+01,2023-05-10T14:18:31.000Z,1683728311,4,3,418,1
1.80E+01,2023-05-10T14:10:33.000Z,1683727833,712,34,4116,1
1.90E+01,2023-05-10T11:43:07.000Z,1683718987,57,3,443,1
2.00E+01,2023-05-10T11:01:37.000Z,1683716497,102,27,3551,0
