PostId,time,timestamp,likes,comments,shares,ranking
1,2023-05-14T23:45:04.000Z,1684107904,1724,68,2,0
2,2023-05-14T23:18:34.000Z,1684106314,1001,23,0,0
3,2023-05-14T23:14:55.000Z,1684106095,767,6,0,0
4,2023-05-14T23:11:48.000Z,1684105908,1544,315,4,1
5,2023-05-14T23:08:37.000Z,1684105717,703,24,1,1
6,2023-05-14T23:08:26.000Z,1684105706,1385,597,37,1
7,2023-05-14T22:51:31.000Z,1684104691,752,25,8,0
8,2023-05-14T22:45:27.000Z,1684104327,910,27,1,0
9,2023-05-14T22:43:30.000Z,1684104210,728,108,5,1
10,2023-05-14T22:15:26.000Z,1684102526,3144,178,10,1
11,2023-05-14T22:10:37.000Z,1684102237,3483,102,32,0
12,2023-05-14T21:58:04.000Z,1684101484,1690,57,0,0
13,2023-05-14T21:46:08.000Z,1684100768,1022,32,1,0
14,2023-05-14T21:17:06.000Z,1684099026,3068,117,10,0
15,2023-05-14T21:14:14.000Z,1684098854,309,26,0,1
16,2023-05-14T20:48:38.000Z,1684097318,1678,242,0,0
17,2023-05-14T20:35:28.000Z,1684096528,1317,125,4,0
18,2023-05-14T20:27:16.000Z,1684096036,1969,63,0,0
19,2023-05-14T20:24:13.000Z,1684095853,4500,204,11,1
20,2023-05-14T20:13:19.000Z,1684095199,2077,120,3,0
